Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,heartratebpm/value
2021-08-22T13:19:18Z,38.4050502,-78.869174,400.4914831,
2021-08-22T13:19:20Z,38.4050976,-78.8693171,400.7827074,
2021-08-22T13:19:22Z,38.4051366,-78.8694611,400.9202857,
2021-08-22T13:19:24Z,38.4051868,-78.8695976,401.1662075,
2021-08-22T13:19:26Z,38.4052223,-78.8697213,401.2978159,
2021-08-22T13:19:28Z,38.4052659,-78.8698232,401.4663342,
2021-08-22T13:19:30Z,38.405302,-78.8699379,401.8088256,
2021-08-22T13:19:32Z,38.4053426,-78.8700521,402.2505859,
2021-08-22T13:19:34Z,38.4053794,-78.8701591,402.6220304,
2021-08-22T13:19:36Z,38.4054062,-78.8702427,402.9173869,
2021-08-22T13:19:38Z,38.4054369,-78.8703317,403.2678594,
2021-08-22T13:19:40Z,38.4054746,-78.8704231,403.8377951,
2021-08-22T13:19:42Z,38.4055041,-78.8704813,404.2330944,
2021-08-22T13:19:44Z,38.4055392,-78.8705423,404.34352,
2021-08-22T13:19:46Z,38.4055865,-78.870657,404.8614709,
2021-08-22T13:19:48Z,38.4056219,-78.8707255,405.0922084,
2021-08-22T13:19:50Z,38.4056535,-78.8707995,405.4074437,
2021-08-22T13:19:52Z,38.4056984,-78.8708783,405.7811178,
2021-08-22T13:19:55Z,38.405747,-78.8709558,406.1251856,
2021-08-22T13:19:56Z,38.4057736,-78.8710043,406.489517,
2021-08-22T13:19:58Z,38.4058203,-78.8710745,406.8236047,
2021-08-22T13:20:00Z,38.4058509,-78.871127,407.1119921,
2021-08-22T13:20:02Z,38.4058972,-78.8711984,407.5356732,
2021-08-22T13:20:05Z,38.4059483,-78.8712823,407.8682603,
2021-08-22T13:20:06Z,38.4059862,-78.8713403,407.9732344,
2021-08-22T13:20:08Z,38.4060221,-78.8714033,408.1349303,
2021-08-22T13:20:10Z,38.4060749,-78.8714806,408.1942971,
2021-08-22T13:20:12Z,38.4061102,-78.871551,408.4622984,
2021-08-22T13:20:15Z,38.406178,-78.8716436,408.611091,
2021-08-22T13:20:16Z,38.4062094,-78.871695,408.7181892,
2021-08-22T13:20:18Z,38.4062607,-78.8717768,408.7791467,
2021-08-22T13:20:20Z,38.4063084,-78.871854,408.7538006,
2021-08-22T13:20:22Z,38.4063645,-78.8719394,408.806292,
2021-08-22T13:20:24Z,38.4064123,-78.8720138,408.7324761,
2021-08-22T13:20:27Z,38.4064757,-78.8721225,408.7652302,
2021-08-22T13:20:28Z,38.4065321,-78.8722171,408.5223549,
2021-08-22T13:20:30Z,38.4065938,-78.8723166,408.4332491,
2021-08-22T13:20:32Z,38.4066497,-78.8724091,408.2368382,
2021-08-22T13:20:34Z,38.4067192,-78.8725062,407.9623348,
2021-08-22T13:20:36Z,38.4067965,-78.8726102,407.7238699,
2021-08-22T13:20:38Z,38.406871,-78.872715,407.4028742,
2021-08-22T13:20:40Z,38.4069598,-78.8728156,406.8227053,
2021-08-22T13:20:42Z,38.4070531,-78.8729302,406.3102834,
2021-08-22T13:20:44Z,38.4071596,-78.8730581,405.493085,
2021-08-22T13:20:46Z,38.4072717,-78.8732044,404.5254844,
2021-08-22T13:20:48Z,38.4073904,-78.8733616,403.5105053,
2021-08-22T13:20:50Z,38.4075202,-78.8735296,402.1264744,
2021-08-22T13:20:52Z,38.4076623,-78.8737087,400.3827784,
2021-08-22T13:20:54Z,38.4078092,-78.8738936,399.027291,
2021-08-22T13:20:56Z,38.4079722,-78.8740947,397.3402516,
2021-08-22T13:20:58Z,38.4081368,-78.8743015,395.5895956,
2021-08-22T13:21:00Z,38.4083054,-78.8745107,393.7713926,
2021-08-22T13:21:02Z,38.4084866,-78.8747271,392.0973629,
2021-08-22T13:21:04Z,38.4086768,-78.8749539,389.9278419,
2021-08-22T13:21:06Z,38.4088721,-78.8751871,387.8016562,
2021-08-22T13:21:08Z,38.4090702,-78.8754282,385.5928601,
2021-08-22T13:21:10Z,38.409273,-78.8756734,383.3528659,
2021-08-22T13:21:12Z,38.4094754,-78.8759208,381.0346205,
2021-08-22T13:21:14Z,38.4096846,-78.8761713,379.7130673,
2021-08-22T13:21:16Z,38.4098914,-78.8764231,378.1763756,
2021-08-22T13:21:18Z,38.4101039,-78.8766814,376.5218056,
2021-08-22T13:21:20Z,38.4103201,-78.8769161,375.2124861,
2021-08-22T13:21:22Z,38.4105405,-78.8771387,375.4251476,
2021-08-22T13:21:24Z,38.4107611,-78.877336,375.057054,
2021-08-22T13:21:26Z,38.410977,-78.8775133,374.3156851,
2021-08-22T13:21:28Z,38.4111929,-78.8776797,373.9851795,
2021-08-22T13:21:30Z,38.4114087,-78.8778403,373.5496371,
2021-08-22T13:21:32Z,38.4116201,-78.8780021,372.7079156,
2021-08-22T13:21:34Z,38.4118296,-78.8781583,371.9606614,
2021-08-22T13:21:36Z,38.4120295,-78.8783088,371.6464177,
2021-08-22T13:21:38Z,38.412218,-78.8784515,371.1980041,
2021-08-22T13:21:40Z,38.4124077,-78.8785965,370.6763294,
2021-08-22T13:21:42Z,38.4125936,-78.8787421,370.2439314,
2021-08-22T13:21:44Z,38.4127773,-78.878883,369.4237851,
2021-08-22T13:21:46Z,38.4129568,-78.8790346,369.0504234,
2021-08-22T13:21:48Z,38.4131255,-78.8791859,368.9211759,
2021-08-22T13:21:50Z,38.4132924,-78.8793331,368.1649624,
2021-08-22T13:21:52Z,38.4134652,-78.8794773,368.0347772,
2021-08-22T13:21:54Z,38.4136431,-78.8796091,367.5551617,
2021-08-22T13:21:56Z,38.413818,-78.8797509,367.0918532,
2021-08-22T13:21:58Z,38.4139829,-78.8798899,366.4789013,
2021-08-22T13:22:00Z,38.4141499,-78.8800205,366.0033629,
2021-08-22T13:22:02Z,38.4143162,-78.8801517,365.9241614,
2021-08-22T13:22:05Z,38.4145597,-78.8803583,365.0335939,
2021-08-22T13:22:07Z,38.4147172,-78.8804875,364.5646555,
2021-08-22T13:22:09Z,38.4148675,-78.8806149,364.0212931,
